vx,vy,vz
2.745984136800366741e+03,-7.083522613932786953e+02,-3.440620412948117064e+03
3.171279036548270142e+03,-2.517403071420551157e+02,-3.124018668852938390e+03
3.518475220862173046e+03,2.110659448124288247e+02,-2.730490006634080601e+03
3.779024725779329401e+03,6.686706077500585934e+02,-2.269725502429332209e+03
3.946513259533042856e+03,1.109806036248402052e+03,-1.753071684755140041e+03
4.016818112289723558e+03,1.523610279468864746e+03,-1.193251108421057097e+03
3.988209629582891012e+03,1.899894537119669167e+03,-6.040490491570051290e+02
3.861393752215869426e+03,2.229394030754510368e+03,2.596269828141581706e-02
3.639494577961313098e+03,2.503996112256158085e+03,6.040994069340156329e+02
3.327977378518378373e+03,2.716939992936531326e+03,1.193297036387940352e+03
2.934513972251471387e+03,2.862983176738550355e+03,1.753111117377668279e+03
2.468793773027285624e+03,2.938530502076729590e+03,2.269757628968631707e+03
1.942285172854838947e+03,2.941722618660996886e+03,2.730515626905354566e+03
1.367953138090680341e+03,2.872481725213922800e+03,3.124040419047697014e+03
7.599399756187009416e+02,2.732513446754368488e+03,3.440642845894417860e+03
1.332171300970901768e+02,2.525264809838437031e+03,3.672527795874318144e+03
-4.967834159010167241e+02,2.255839354321319661e+03,3.813986089831068512e+03
-1.114549067749674350e+03,1.930871473962693472e+03,3.861535017379520013e+03
-1.704868523275567895e+03,1.558363079831864297e+03,3.814004071016898251e+03
